,Compound_Score,Date,Followers,Negative_Score,Neutral_Score,Positive_Score,Screen_Name,Tweet_Text
58,-0.2617,Fri Jan 26 13:28:45 +0000 2018,36868459,0.108,0.892,0.0,BBC Breaking News,"President Trump launches fierce attack on ""predatory"" trade practices but says ""America first is not America alone""… https://t.co/Tvr5mwTjj7"
59,0.6705,Fri Jan 26 09:49:45 +0000 2018,36868459,0.0,0.756,0.244,BBC Breaking News,"UK economic growth is a better than expected 0.5% for the last three months of 2017, official figures show https://t.co/y844Op3z0O"
60,-0.6705,Fri Jan 26 09:35:46 +0000 2018,36868459,0.256,0.744,0.0,BBC Breaking News,"President Trump dismisses as ""fake news"" reports he tried to fire Robert Mueller from Russia meddling probe https://t.co/J0Ysb8OZkX"
61,0.5423,Fri Jan 26 07:11:38 +0000 2018,36868459,0.0,0.791,0.209,BBC Breaking News,Donald Trump has said he is prepared to apologise for retweeting posts from UK far-right group Britain First https://t.co/SDCbwTixnG
62,-0.34,Fri Jan 26 01:51:02 +0000 2018,36868459,0.118,0.882,0.0,BBC Breaking News,"Pictures from the scene in South Korea as firefighters race to extinguish a deadly fire at Sejong Hospital, Miryang… https://t.co/tldPxzprk4"
63,-0.743,Fri Jan 26 01:40:57 +0000 2018,36868459,0.31,0.69,0.0,BBC Breaking News,"Death toll from hospital fire in Miryang, South Korea, jumps to 31, local media say https://t.co/vLa72wc9M7"
64,-0.7845,Fri Jan 26 01:21:32 +0000 2018,36868459,0.347,0.653,0.0,BBC Breaking News,"At least 15 people are killed by a fire at a hospital in Miryang, South Korea https://t.co/YzEFB4QMLG"
65,0.6369,Thu Jan 25 21:08:36 +0000 2018,36868459,0.129,0.588,0.283,BBC Breaking News,Actor Casey Affleck pulls out of presenting best actress award at Oscars amid past allegations of sexual harassment https://t.co/thrGrvzbzI
66,0.0772,Thu Jan 25 15:15:07 +0000 2018,36868459,0.141,0.705,0.154,BBC Breaking News,"Blaming the Palestinians, US President Donald Trump questions whether peace talks with Israel 'will ever take place' https://t.co/u1PDtOUwpO"
67,-0.1877,Thu Jan 25 13:48:30 +0000 2018,36868459,0.104,0.896,0.0,BBC Breaking News,"Oprah Winfrey on running for president: ""It's not something that interests me"" - US magazine interview https://t.co/RwvDR1spW2"
