,city,country,coord,id,lat,lng,cur_date,cur_temp,cur_humidity,cur_clouds,cur_wind,max_date,max_temp,max_temp_humidity,max_temp_clouds,max_temp_wind,avg_date0,avg_date1,avg_temp,avg_humidity,avg_clouds,avg_wind
652,stoyba,ru,"{'lon': 131.7095224, 'lat': 52.7945943}",0,52.79,131.71,1517043182,-19.83,54,20,4.18,1517119200,-12.68,56,20,3.4,1517043600,1517464800,-19.98725,48.9,30.8,2.7704999999999997
653,waslala,ni,"{'lon': -85.383331, 'lat': 13.23333}",3615745,13.23,-85.38,1517043183,71.25,91,88,5.53,1517065200,72.49,90,92,5.73,1517043600,1517464800,71.598,92.6,82.6,5.694750000000001
654,sysert,ru,"{'lon': 60.819172, 'lat': 56.495281}",1490402,56.5,60.82,1517040000,17.6,23,0,15.66,1517043600,19.87,48,12,13.02,1517043600,1517464800,8.949499999999999,53.1,22.3,10.0185
655,henties bay,na,"{'lon': 14.2832038, 'lat': -22.1134964}",0,-22.11,14.28,1517043184,66.17,97,12,4.97,1517054400,71.29,90,0,8.41,1517043600,1517464800,65.43325,94.25,42.9,6.3717500000000005
656,west wendover,us,"{'lon': -114.073341, 'lat': 40.739101}",5710035,40.74,-114.07,1517039760,21.2,73,1,4.7,1517086800,36.89,75,8,2.8,1517043600,1517464800,27.7035,75.35,25.8,2.62725
657,kieta,pg,"{'lon': 155.633331, 'lat': -6.21667}",2094027,-6.22,155.63,1517043186,79.71,100,80,14.03,1517119200,86.01,82,88,15.64,1517043600,1517464800,82.098,93.7,66.0,10.44675
658,quelimane,mz,"{'lon': 36.888329, 'lat': -17.878611}",1028434,-17.88,36.89,1517040000,84.2,79,75,6.93,1517054400,91.27,72,24,8.97,1517043600,1517464800,82.62975,77.45,28.5,6.85775
659,ukiah,us,"{'lon': -123.207779, 'lat': 39.150169}",5404476,39.15,-123.21,1517039760,42.8,87,90,0.83,1517097600,50.07,92,20,2.59,1517043600,1517464800,46.85425,89.475,42.5,2.53225
660,garowe,so,"{'lon': 48.4837239, 'lat': 8.4084158}",0,8.41,48.48,1517043187,80.61,43,0,8.32,1517054400,94.73,29,0,6.73,1517043600,1517464800,70.92999999999999,56.825,3.7,8.936
661,sawang daen din,th,"{'lon': 103.457527, 'lat': 17.475309}",1606350,17.48,103.46,1517043188,79.49,84,88,6.64,1517130000,89.29,56,0,4.27,1517043600,1517464800,71.792,68.2,25.2,8.25275
662,chon daen,th,"{'lon': 100.859581, 'lat': 16.189529}",1611106,16.19,100.86,1517043188,81.56,76,36,5.86,1517130000,88.17,63,0,3.94,1517043600,1517464800,77.475,70.25,26.6,4.694750000000001
663,kudahuvadhoo,mv,"{'lon': 72.894371, 'lat': 2.67075}",1337607,2.67,72.89,1517043189,82.01,100,0,3.4,1517065200,82.94,100,20,7.63,1517043600,1517464800,82.20349999999999,99.975,35.0,9.4285
664,birsk,ru,"{'lon': 55.542782, 'lat': 55.421108}",576317,55.42,55.54,1517043190,4.97,79,0,12.8,1517043600,8.89,79,0,12.8,1517043600,1517464800,3.967,70.8,18.8,13.037749999999999
665,gao,ml,"{'lon': -0.04472, 'lat': 16.271669}",2457163,16.27,-0.04,1517043190,64.41,62,0,8.88,1517065200,82.6,47,0,10.31,1517043600,1517464800,71.436,50.975,27.8,10.6945
666,yeppoon,au,"{'lon': 150.733337, 'lat': -23.133329}",2142316,-23.13,150.73,1517040000,86.0,58,8,12.75,1517119200,86.51,59,0,20.11,1517043600,1517464800,81.02725000000001,72.95,25.6,11.01175
667,oceanside,us,"{'lon': -73.640129, 'lat': 40.63871}",5129603,40.64,-73.64,1517040900,30.79,97,20,6.93,1517119200,50.91,73,92,11.79,1517043600,1517464800,36.61275,88.7,55.3,7.65625
669,westport,nz,"{'lon': 171.603699, 'lat': -41.752621}",2206900,-41.75,171.6,1517043192,69.45,81,0,2.62,1517108400,81.53,55,8,2.39,1517043600,1517464800,69.45174999999999,80.575,20.5,4.23175
670,bairiki,ki,"{'lon': 172.9790528, 'lat': 1.3290526}",0,1.33,172.98,1517040000,80.6,88,40,17.22,1517043600,82.59,98,76,15.37,1517043600,1517464800,81.65625,99.675,52.9,16.7715
