Registrar,Total Number of Domains,Change,Share Percent
LogicBoxes Naming Services Ltd.,160,0 ,0.00%
"007Names, Inc.",159,0 ,0.00%
"Imperial Registrations, Inc.",159,1 ,0.00%
AFRIREGISTER S.A.,153,1 ,0.00%
Larsen Data ApS,141,0 ,0.00%
Arcanes Technologies,138,2 ,0.00%
Korea Server Hosting Inc.,138,0 ,0.00%
NetZone AG,136,0 ,0.00%
Regtime Ltd. (WebNames.ru),134,0 ,0.00%
Knipp Medien und Kommunikation GmbH,131,0 ,0.00%
"pair Networks, Inc. d/b/a pair Domains",124,0 ,0.00%
Total Web Solutions Limited trading as TotalRegistrations,121,0 ,0.00%
DotMedia Limited,114,0 ,0.00%
NameCamp Limited,104,-1 ,0.00%
GMO Brights Consulting Inc.,102,0 ,0.00%
Web Werks India Pvt. Ltd d/b/a ZenRegistry.com,100,1 ,0.00%
Ejee Group Beijing Limited,98,0 ,0.00%
"DotArai Co., Ltd.",92,2 ,0.00%
Online Data Services Joint Stock Company,86,0 ,0.00%
IP Mirror Pte Ltd dba IP MIRROR,82,0 ,0.00%
"Hannibal Barca, LLC (Pheenix, Inc.)",75,0 ,0.00%
"Pheenix, Inc. (Pheenix, Inc.)",74,0 ,0.00%
Reserved for Pre-Delegation Testing transactions #1 reporting,72,0 ,0.00%
DOMAINOO SAS,68,0 ,0.00%
"Name Trance LLC (Pheenix, Inc.)",66,0 ,0.00%
"Cyrus the Great, LLC (Pheenix, Inc.)",66,0 ,0.00%
Hosteur SARL,64,0 ,0.00%
"Threadwise.com, Inc. (Pheenix, Inc.)",63,0 ,0.00%
"Douglas MacArthur, LLC (Pheenix, Inc.)",61,0 ,0.00%
"Alexander the Great, LLC (Pheenix, Inc.)",60,0 ,0.00%
"Julius Caesar, LLC (Pheenix, Inc.)",58,0 ,0.00%
Taka Enterprise Ltd,56,0 ,0.00%
"DomainSnap, LLC (Pheenix, Inc.)",56,0 ,0.00%
"Genghis Khan, LLC (Pheenix, Inc.)",55,0 ,0.00%
"yenkos, LLC (Pheenix, Inc.)",55,0 ,0.00%
"Attila the Hun, LLC (Pheenix, Inc.)",54,0 ,0.00%
"Charlemagne 888, LLC (Pheenix, Inc.)",54,0 ,0.00%
"Isoroku Yamamoto, LLC (Pheenix, Inc.)",53,0 ,0.00%
Famous Four Media Ltd,53,0 ,0.00%
"Ignitela, LLC (Pheenix, Inc.)",53,1 ,0.00%
"Dwight D. Eisenhower, LLC (Pheenix, Inc.)",52,0 ,0.00%
"Brandsight, Inc.",50,1 ,0.00%
"Threadwalker.com, Inc. (Pheenix, Inc.)",50,0 ,0.00%
"GKG.NET, INC.",49,0 ,0.00%
"Threadwatch.com, Inc. (Pheenix, Inc.)",49,0 ,0.00%
"George S. Patton, LLC (Pheenix, Inc.)",49,0 ,0.00%
"George Washington 888, LLC (Pheenix, Inc.)",47,0 ,0.00%
"NCC Group Secure Registrar, Inc.",44,0 ,0.00%
"HANGANG Systems, Inc. dba Doregi.com",40,0 ,0.00%
Paknic (Private) Limited,38,0 ,0.00%
Ghana Dot Com Ltd.,33,0 ,0.00%
Netnames Pty Ltd.,32,0 ,0.00%
Astutium Limited,30,0 ,0.00%
Abu-Ghazaleh Intellectual Property dba TAGIdomains.com,28,0 ,0.00%
